key,chi_squared,p_value
000000,33.5,0.03125
000001,16.0,0.09375
000010,5.9,0.34375
000011,7.042857142857143,0.25
000100,1.8095238095238098,1.0
000101,2.666666666666667,0.46875
000110,1.8095238095238098,1.0
000111,10.166666666666668,0.125
001000,1.8095238095238098,1.0
001001,2.071428571428571,0.8125
001010,2.642857142857143,0.625
001011,2.071428571428571,0.8125
001100,7.785714285714286,0.1875
001101,2.071428571428571,0.8125
001110,1.8095238095238098,1.0
001111,7.042857142857143,0.25
010000,5.9,0.34375
010001,2.666666666666667,0.46875
010010,2.642857142857143,0.625
010011,2.071428571428571,0.8125
010100,2.642857142857143,0.625
010101,9.5,0.15625
010110,2.642857142857143,0.625
010111,2.666666666666667,0.46875
011000,1.8095238095238098,1.0
011001,2.071428571428571,0.8125
011010,2.642857142857143,0.625
011011,2.071428571428571,0.8125
011100,1.8095238095238098,1.0
011101,2.666666666666667,0.46875
011110,5.9,0.34375
011111,16.0,0.09375
100000,16.0,0.09375
100001,5.9,0.34375
100010,2.666666666666667,0.46875
100011,1.8095238095238098,1.0
100100,2.071428571428571,0.8125
100101,2.642857142857143,0.625
100110,2.071428571428571,0.8125
100111,1.8095238095238098,1.0
101000,2.666666666666667,0.46875
101001,2.642857142857143,0.625
101010,9.5,0.15625
101011,2.642857142857143,0.625
101100,2.071428571428571,0.8125
101101,2.642857142857143,0.625
101110,2.666666666666667,0.46875
101111,5.9,0.34375
110000,7.042857142857143,0.25
110001,1.8095238095238098,1.0
110010,2.071428571428571,0.8125
110011,7.785714285714286,0.1875
110100,2.071428571428571,0.8125
110101,2.642857142857143,0.625
110110,2.071428571428571,0.8125
110111,1.8095238095238098,1.0
111000,10.166666666666668,0.125
111001,1.8095238095238098,1.0
111010,2.666666666666667,0.46875
111011,1.8095238095238098,1.0
111100,7.042857142857143,0.25
111101,5.9,0.34375
111110,16.0,0.09375
111111,33.5,0.03125
