key,chi_squared,p_value
00000,17.0,0.0625
00001,7.571428571428571,0.1875
00010,2.4857142857142858,0.75
00011,3.533333333333333,0.375
00100,2.904761904761905,0.5625
00101,1.4761904761904763,1.0
00110,2.904761904761905,0.5625
00111,3.533333333333333,0.375
01000,2.4857142857142858,0.75
01001,1.4761904761904763,1.0
01010,7.285714285714286,0.25
01011,1.4761904761904763,1.0
01100,2.904761904761905,0.5625
01101,1.4761904761904763,1.0
01110,2.4857142857142858,0.75
01111,7.571428571428571,0.1875
10000,7.571428571428571,0.1875
10001,2.4857142857142858,0.75
10010,1.4761904761904763,1.0
10011,2.904761904761905,0.5625
10100,1.4761904761904763,1.0
10101,7.285714285714286,0.25
10110,1.4761904761904763,1.0
10111,2.4857142857142858,0.75
11000,3.533333333333333,0.375
11001,2.904761904761905,0.5625
11010,1.4761904761904763,1.0
11011,2.904761904761905,0.5625
11100,3.533333333333333,0.375
11101,2.4857142857142858,0.75
11110,7.571428571428571,0.1875
11111,17.0,0.0625
