key,chi_squared,p_value
0000000,66.0,0.015625
0000001,32.44444444444444,0.046875
0000010,12.57777777777778,0.125
0000011,13.8,0.078125
0000100,4.777777777777778,0.4375
0000101,5.333333333333334,0.34375
0000110,4.777777777777778,0.4375
0000111,7.619047619047619,0.171875
0001000,7.587301587301588,0.21875
0001001,1.0634920634920635,1.0
0001010,3.3968253968253967,0.65625
0001011,1.0634920634920635,1.0
0001100,4.285714285714286,0.484375
0001101,1.0634920634920635,1.0
0001110,7.587301587301588,0.21875
0001111,7.619047619047619,0.171875
0010000,4.777777777777778,0.4375
0010001,1.0634920634920635,1.0
0010010,2.0,0.8125
0010011,5.444444444444445,0.28125
0010100,2.0,0.8125
0010101,4.111111111111111,0.578125
0010110,2.0,0.8125
0010111,1.0634920634920635,1.0
0011000,4.285714285714286,0.484375
0011001,5.444444444444445,0.28125
0011010,2.0,0.8125
0011011,5.444444444444445,0.28125
0011100,4.285714285714286,0.484375
0011101,1.0634920634920635,1.0
0011110,4.777777777777778,0.4375
0011111,13.8,0.078125
0100000,12.57777777777778,0.125
0100001,5.333333333333334,0.34375
0100010,3.3968253968253967,0.65625
0100011,1.0634920634920635,1.0
0100100,2.0,0.8125
0100101,4.111111111111111,0.578125
0100110,2.0,0.8125
0100111,1.0634920634920635,1.0
0101000,3.3968253968253967,0.65625
0101001,4.111111111111111,0.578125
0101010,11.777777777777779,0.140625
0101011,4.111111111111111,0.578125
0101100,2.0,0.8125
0101101,4.111111111111111,0.578125
0101110,3.3968253968253967,0.65625
0101111,5.333333333333334,0.34375
0110000,4.777777777777778,0.4375
0110001,1.0634920634920635,1.0
0110010,2.0,0.8125
0110011,5.444444444444445,0.28125
0110100,2.0,0.8125
0110101,4.111111111111111,0.578125
0110110,2.0,0.8125
0110111,1.0634920634920635,1.0
0111000,7.587301587301588,0.21875
0111001,1.0634920634920635,1.0
0111010,3.3968253968253967,0.65625
0111011,1.0634920634920635,1.0
0111100,4.777777777777778,0.4375
0111101,5.333333333333334,0.34375
0111110,12.57777777777778,0.125
0111111,32.44444444444444,0.046875
1000000,32.44444444444444,0.046875
1000001,12.57777777777778,0.125
1000010,5.333333333333334,0.34375
1000011,4.777777777777778,0.4375
1000100,1.0634920634920635,1.0
1000101,3.3968253968253967,0.65625
1000110,1.0634920634920635,1.0
1000111,7.587301587301588,0.21875
1001000,1.0634920634920635,1.0
1001001,2.0,0.8125
1001010,4.111111111111111,0.578125
1001011,2.0,0.8125
1001100,5.444444444444445,0.28125
1001101,2.0,0.8125
1001110,1.0634920634920635,1.0
1001111,4.777777777777778,0.4375
1010000,5.333333333333334,0.34375
1010001,3.3968253968253967,0.65625
1010010,4.111111111111111,0.578125
1010011,2.0,0.8125
1010100,4.111111111111111,0.578125
1010101,11.777777777777779,0.140625
1010110,4.111111111111111,0.578125
1010111,3.3968253968253967,0.65625
1011000,1.0634920634920635,1.0
1011001,2.0,0.8125
1011010,4.111111111111111,0.578125
1011011,2.0,0.8125
1011100,1.0634920634920635,1.0
1011101,3.3968253968253967,0.65625
1011110,5.333333333333334,0.34375
1011111,12.57777777777778,0.125
1100000,13.8,0.078125
1100001,4.777777777777778,0.4375
1100010,1.0634920634920635,1.0
1100011,4.285714285714286,0.484375
1100100,5.444444444444445,0.28125
1100101,2.0,0.8125
1100110,5.444444444444445,0.28125
1100111,4.285714285714286,0.484375
1101000,1.0634920634920635,1.0
1101001,2.0,0.8125
1101010,4.111111111111111,0.578125
1101011,2.0,0.8125
1101100,5.444444444444445,0.28125
1101101,2.0,0.8125
1101110,1.0634920634920635,1.0
1101111,4.777777777777778,0.4375
1110000,7.619047619047619,0.171875
1110001,7.587301587301588,0.21875
1110010,1.0634920634920635,1.0
1110011,4.285714285714286,0.484375
1110100,1.0634920634920635,1.0
1110101,3.3968253968253967,0.65625
1110110,1.0634920634920635,1.0
1110111,7.587301587301588,0.21875
1111000,7.619047619047619,0.171875
1111001,4.777777777777778,0.4375
1111010,5.333333333333334,0.34375
1111011,4.777777777777778,0.4375
1111100,13.8,0.078125
1111101,12.57777777777778,0.125
1111110,32.44444444444444,0.046875
1111111,66.0,0.015625
